"repo_name","author_name","author_date","commit_message"
"shadowsocks/shadowsocks-android","Robot5","02/10/2025","Remove non-exist include dirs (#3198)

These two directories don't exist."
"shadowsocks/shadowsocks-android","Mygod","11/02/2024","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","08/29/2024","Fix #3167

Co-authored-by: Aaron Chen <aaronchen.lisp@gmail.com>"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Target API 35"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Remove unnecessary check"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Update circleci"
"shadowsocks/shadowsocks-android","Aaron Chen","08/28/2024","Fix a warning from sslocal logcat output (#3166)"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Merge pull request #3165 from AaronChen0/android14

Target Android 14"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Remove second thread pool"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Fix locale config not merged"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Fix gradle wrapper"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Expand explanation"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Support auto zoom for scanner"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Set highest resolution for scanner"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Update detekt.yml"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Refine code style"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Migrate from values()"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Fix view not hidden on start"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Fix deprecations"
"shadowsocks/shadowsocks-android","Mygod","08/28/2024","Suppress lint"
"shadowsocks/shadowsocks-android","Mygod","08/27/2024","Fixes"
"shadowsocks/shadowsocks-android","Aaron Chen","08/27/2024","Fix lint errors"
"shadowsocks/shadowsocks-android","Aaron Chen","08/27/2024","Fix R8 errors and foregroundServiceType"
"shadowsocks/shadowsocks-android","Aaron Chen","08/26/2024","Fix crash on Firebase.initialize"
"shadowsocks/shadowsocks-android","Aaron Chen","08/26/2024","Fix lint errors"
"shadowsocks/shadowsocks-android","Aaron Chen","08/26/2024","fix gson version"
"shadowsocks/shadowsocks-android","Aaron Chen","08/26/2024","Target Android14 and update dependencies"
