"author_name","Period_3_2021_2025","Period_1_2012_2016","Period_2_2016_2021","total_commits"
"Darien Raymond",47,748,6392,7187
"Max Lv",97,2093,1615,3805
"Victoria Raymond",0,0,3514,3514
"Mygod",120,330,1664,2114
"v2ray",0,1718,9,1727
"zonyitoo",952,0,680,1632
"loyalsoldier",16,0,1541,1557
"Shelikhoo",724,168,474,1366
"Kslr",8,0,1261,1269
"Symeon Huang",0,965,144,1109
"clowwindy",0,1108,0,1108
"V2Ray",0,986,0,986
"V2Ray Auto Build",0,364,621,985
"EpLiar",46,0,852,898
"Toby",724,0,143,867
"Loyalsoldier",252,0,537,789
"actions",669,0,117,786
"Gyt",0,149,593,742
"gyt-Macmini",0,293,440,733
"Richard Chen",1,0,688,689
"ToutyRater",0,11,527,538
"Y. T. Chung",0,282,255,537
"RPRX",0,0,450,450
"rootmelo92118",410,0,0,410
"Guyuteng",0,3,376,379
"R. Daneel Olivaw",0,0,313,313
"vcptr",0,0,289,289
"Jian Chang",15,99,173,287
"IceCodeNew",112,0,174,286
"Qiu Yuzhou",21,5,258,284
"Dct Mei",0,0,279,279
"Chen Yufei",0,266,0,266
"Syrone Wong",0,71,153,224
"DarienRaymond",0,0,217,217
"Eggham",0,0,214,214
"gyteng",0,0,213,213
"V2 Ray",0,202,0,202
"ohsorry",0,0,188,188
"Charlie Qiu",0,79,105,184
"aa65535",0,175,0,175
"Gyt-OMEN",5,0,164,169
"rhjdvsgsgks",2,0,145,147
"William Wong",0,145,0,145
"秋のかえで",133,0,7,140
"celeron533",0,0,134,134
"MkQtS",119,0,0,119
"Student Main",0,0,115,115
"kslr",8,0,104,112
"noisyfox",0,25,84,109
"Gang Zhuo",0,107,0,107
"sunshineplan",3,0,99,102
"Zzqqbs",0,0,94,94
"database64128",23,0,62,85
"Doublemine",0,0,84,84
"Haruue Icymoon",73,0,4,77
"ShellBOT-ReleaseSigner",51,0,25,76
"Signaliks",76,0,0,76
"icylogic",0,75,0,75
"Allen Zhu",0,2,72,74
"Haruue",74,0,0,74
"Roger Shimizu",0,8,63,71
"ty",61,0,8,69
"GitHub Action",0,0,67,67
"V2FlyContrib",1,0,65,66
"Gu",2,5,58,65
"Nicholas Wang",3,0,62,65
"tobyxdd",64,0,0,64
"kimw",1,54,6,61
"Vigilans",18,0,40,58
"DuckSoft",3,0,52,55
"Xiaokang Wang",7,0,46,53
"luozijun",5,0,48,53
"Jason",0,0,48,48
"Kid",15,0,32,47
"Aaron Chen",45,0,0,45
"Funray Qu",0,0,42,42
"Linus Yang",0,12,30,42
"jinqiang zhang",40,0,0,40
"Boyuan Yang",0,25,11,36
"molink36",36,0,0,36
"losfair",0,0,35,35
"AkinoKaede",34,0,0,34
"Sunny",0,34,0,34
"粒粒橙",0,0,34,34
"v2ray-shell",0,0,31,31
"Opportunity",2,0,28,30
"XiaMo",0,0,30,30
"Aethersailor",29,0,0,29
"Licshee",0,29,0,29
