"year","author_name","total_count"
"2012","Chen Yufei",83
"2012","Max Lv",59
"2012","clowwindy",25
"2012","haohaolee",1
"2013","Athurg Gooth",1
"2013","Chen Yufei",136
"2013","Guizai",1
"2013","Joshua Lund",1
"2013","Linus Yang",8
"2013","Max Lv",577
"2013","Max lv",1
"2013","Patrick Li",1
"2013","Zhang Yi",2
"2013","clowwindy",34
"2013","hugozhu",1
"2013","root",1
"2013","xiaoding",1
"2014","Blaok",5
"2014","Chen Shaoju",1
"2014","Chen Yufei",14
"2014","Datong Sun",2
"2014","David",1
"2014","GhostFlying",1
"2014","Hexcles Ma",1
"2014","Jesse",1
"2014","Joshua Lund",1
"2014","Linus Yang",4
"2014","Liu Qishuai",2
"2014","Liu VRan",2
"2014","Max Lv",590
"2014","Meitian Huang",1
"2014","Sam Chen",1
"2014","Sharuru",1
"2014","Sui",1
"2014","Symeon Huang",8
"2014","Vinna",7
"2014","William Wong",2
"2014","Y. T. Chung",114
"2014","Zeray Rice",1
"2014","Zhaofeng Li",4
"2014","aa65535",1
"2014","canbingzt",2
"2014","clowwindy",235
"2014","ftao",1
"2014","hdid",3
"2014","kookxiang",3
"2014","lidashuang",1
"2014","luojianhui",1
"2014","mengskysama",2
"2014","root",1
"2014","wzxjohn",10
"2014","zhongl",1
"2014","南浦月",2
"2015","10people",2
"2015","Boyuan Yang",21
"2015","Charles",4
"2015","Chen Yufei",25
"2015","Chion Tang",2
"2015","Christopher Meng",1
"2015","ChunFeng",1
"2015","Claire Raymond",12
"2015","CzBiX",3
"2015","Daniel.Zeng",1
"2015","Darien Raymond",96
"2015","Gang Zhuo",66
"2015","Hugh Wang",1
"2015","Jackson Ming Hu",1
"2015","Jeffrey Zhang",1
"2015","Jenkins CI Bot",2
"2015","JohnnySun",3
"2015","Joshua Lund",1
"2015","Kaguya",1
"2015","Kery",1
"2015","KrazyIvan",4
"2015","KrazyIvan-",1
"2015","Leonard Li",1
"2015","Lozen Liu",1
"2015","Max Lv",602
"2015","Meitian Huang",2
"2015","Ming, Bai",1
"2015","Mygod",155
"2015","Niu Tengyu",1
"2015","Pink Floyd",1
"2015","Sah",1
"2015","Sharuru",1
"2015","Siuzuk Zan",1
"2015","Symeon Huang",16
"2015","Syrone Wong",9
"2015","The Gitter Badger",2
"2015","Thomas Frössman",1
"2015","Tunghsiao Liu",1
"2015","V2 Ray",64
"2015","V2Ray",986
"2015","Vinjn Zhang",1
"2015","WenX",1
"2015","Wensheng Tang",1
"2015","Xiaodu",1
"2015","Xue Fuqiao",1
"2015","Y. T. CHUNG",2
"2015","Y. T. Chung",141
"2015","Yifu Yu",4
"2015","York Xiang",2
"2015","Zaicheng Qi",2
"2015","Zhang Sen",2
"2015","adoot",6
"2015","aipsel",2
"2015","amyangfei",1
"2015","ayanamist",5
"2015","clowwindy",182
"2015","crvv",4
"2015","cuckoo",2
"2015","ddatsh",2
"2015","defia",4
"2015","draplater",1
"2015","everyx",1
"2015","genzj",3
"2015","helinb",4
"2015","icylogic",52
"2015","kimw",34
"2015","kxjhlele",11
"2015","li3shiyi",2
"2015","lilydjwg",2
"2015","liulun",2
"2015","pagxir",1
"2015","qinghao",1
"2015","s7lx",1
"2015","sin_sin",3
"2015","v2ray",166
"2015","惠轶群",2
"2016","Allen Zhu",2
"2016","Andreas Auernhammer",2
"2016","Asynchronous Interruption #0",1
"2016","Bigtan",1
