"Year","Date","Views","Shares","Url","Content","Extracted URL 1","Extracted URL 2","Extracted URL 3","Extracted URL 4","Extracted URL 5","Extracted URL 6","Extracted URL 7","Extracted URL 8","Extracted URL 9","Extracted URL 10","Extracted URL 11","Extracted URL 12","Extracted URL 13","Extracted URL 14","Extracted URL 15","Extracted URL 16","Extracted URL 17","Extracted URL 18","Extracted URL 19","Extracted URL 20","Extracted URL 21","Extracted URL 22","Extracted URL 23","Extracted URL 24","Extracted URL 25","Extracted URL 26","Extracted URL 27","Extracted URL 28","Extracted URL 29","Extracted URL 30","Extracted URL 31","Extracted URL 32","Extracted URL 33","Extracted URL 34","Extracted URL 35","Extracted URL 36","Extracted URL 37","Extracted URL 38","Extracted URL 39","Extracted URL 40","Extracted URL 41","Extracted URL 42","Extracted URL 43","Extracted URL 44","Extracted URL 45","Extracted URL 46","Extracted URL 47","Extracted URL 48","Extracted URL 49","Extracted URL 50","Extracted URL 51","Extracted URL 52","Extracted URL 53","Extracted URL 54","Extracted URL 55","Extracted URL 56","Extracted URL 57","Extracted URL 58","Extracted URL 59","Extracted URL 60","Extracted URL 61","Extracted URL 62"
2018,2018-12-26 11:52:40,6973,10,"https://t.me/DuyaoSS/138","2018.12.26  晚高峰6点半-7点半测速 

ssrcloud，速度不错，最近比较忙，没什么空测，明天也要出门。。。

[https://www.dc3cloud.ml/](https://www.dc3cloud.ml/auth/register?code=j1ztBVRHw6FnDI5WvFmngXspeO4oaRHP)","https://www.dc3cloud.ml/","https://www.dc3cloud.ml/auth/register?code=j1ztBVRHw6FnDI5WvFmngXspeO4oaRHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-12-22 22:24:04,9556,25,"https://t.me/DuyaoSS/135","事件来龙去脉在此：https://telegra.ph/tg%E5%9C%88%E6%9C%80%E6%81%B6%E5%BF%83%E7%9A%84%E6%9C%BA%E5%9C%BAaddweb-12-18
这篇是另一个受害者写的，我引用一下
然后今天，机场的厂长貌似直接把大家的帐号都封锁了，现在线路不能用了，帐号也无法登陆了，疑似跑路，机场主疑似诈骗，却派一些一伙儿的人说我们是故意黑他们，却从来不正面回答变相涨价和封禁帐号不能用也不退钱的问题。请曝光广而告之，他们圣诞节还要搞什么促销，担心会诈骗到更多人","https://telegra.ph/tg%E5%9C%88%E6%9C%80%E6%81%B6%E5%BF%83%E7%9A%84%E6%9C%BA%E5%9C%BAaddweb-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-12-16 13:31:46,7989,3,"https://t.me/DuyaoSS/123","2018.12.16 晚高峰9点-9点半测速

Rixcloud，速度依旧稳定好看。。。
前些天出门了，所以没测，再加上回来偷懒了两天

[ https://portal.rixcloud.me](https://portal.rixcloud.me/aff.php?aff=1029)","https://portal.rixcloud.me","https://portal.rixcloud.me/aff.php?aff=1029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-12-01 06:46:56,9554,29,"https://t.me/DuyaoSS/94","https://t.me/nfone/4","https://t.me/nfone/4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-11-29 03:45:46,302,1,"https://t.me/DuyaoSS/91","Surge用户的Windows生存之路，我花了一个月做了一个让自己满意的软件——Clash for Windows

https://sspai.com/post/48350","https://sspai.com/post/48350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-11-15 14:39:39,612,18,"https://t.me/DuyaoSS/48","ZH-HANS • Chinese (Simplified) 简体中文：翻譯較完整

https://t.me/setlanguage/zh-hans-raw 


ZH-HANT • Chinese (Traditional) 繁體中文：還有待努力

https://t.me/setlanguage/zh-hant-raw

* Telegram iOS 5.0.17 版的中文化，請點擊以上連結
* 從此不必手動更新中文化了，只要翻譯網站有字串確認翻譯，各位的 App 會即時更新界面","https://t.me/setlanguage/zh-hans-raw","https://t.me/setlanguage/zh-hant-raw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-11-06 13:06:09,28063,181,"https://t.me/DuyaoSS/6","http://387099.blogspot.com/2018/03/ssssr.html?m=1","http://387099.blogspot.com/2018/03/ssssr.html?m=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,2018-11-06 13:05:50,22615,70,"https://t.me/DuyaoSS/5","http://www.evernote.com/l/AmEIfRIK0H9LE5XUla9dVz21Q8NQ5sVaxMM/","http://www.evernote.com/l/AmEIfRIK0H9LE5XUla9dVz21Q8NQ5sVaxMM/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-30 14:13:54,10745,0,"https://t.me/DuyaoSS/2351","2019.12.30  晚9点半测速

测速机场：养鸡场，清晰图看[博客

](https://www.duyaoss.com/archives/3/)测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/357TFIt


频道 @DuyaoSS","https://www.duyaoss.com/archives/3/)测速带宽：图1北京联通500M，图2上海","https://bit.ly/357TFIt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-29 13:09:31,11061,2,"https://t.me/DuyaoSS/2347","2019.12.29  晚9点测速

测速机场：EX-FLUX，清晰图等下见博客

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/39lSEQn


频道 @DuyaoSS","https://bit.ly/39lSEQn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-29 11:54:53,10204,2,"https://t.me/DuyaoSS/2343","2019.12.29  晚7点半测速

测速机场：YToo，中转V2机场

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2QsQoyb


频道 @DuyaoSS","https://bit.ly/2QsQoyb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-29 11:20:42,11044,23,"https://t.me/DuyaoSS/2342","2019.12.29  晚7点测速

测速机场：魅影极速，中转机场

测速带宽

清晰图1 北京联通500M：https://bit.ly/2Q5Ndx9

清晰图2 上海电信300M：https://bit.ly/366Lttp

清晰图3 江苏移动500M：https://bit.ly/357O0SK



频道 @DuyaoSS","https://bit.ly/2Q5Ndx9","https://bit.ly/366Lttp","https://bit.ly/357O0SK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
