"Date","return_count","newbs"
2016-03-16,0,1
2016-03-17,0,0
2016-03-18,0,0
2016-03-19,0,0
2016-03-20,0,0
2016-03-21,0,0
2016-03-22,0,0
2016-03-23,0,0
2016-03-24,0,0
2016-03-25,0,0
2016-03-26,0,0
2016-03-27,0,0
2016-03-28,0,0
2016-03-29,0,0
2016-03-30,0,0
2016-03-31,0,0
2016-04-01,0,0
2016-04-02,0,0
2016-04-03,0,0
2016-04-04,0,0
2016-04-05,0,0
2016-04-06,0,0
2016-04-07,0,0
2016-04-08,0,0
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,0,0
2016-04-12,0,0
2016-04-13,0,0
2016-04-14,0,0
2016-04-15,0,0
2016-04-16,0,0
2016-04-17,0,0
2016-04-18,0,0
2016-04-19,0,0
2016-04-20,0,0
2016-04-21,0,0
2016-04-22,0,0
2016-04-23,0,0
2016-04-24,0,0
2016-04-25,0,0
2016-04-26,0,0
2016-04-27,0,0
2016-04-28,0,0
2016-04-29,0,0
2016-04-30,0,0
2016-05-01,0,0
2016-05-02,0,0
2016-05-03,0,0
2016-05-04,0,0
2016-05-05,0,0
2016-05-06,0,0
2016-05-07,0,0
2016-05-08,0,0
2016-05-09,0,0
2016-05-10,0,0
2016-05-11,0,0
2016-05-12,0,0
2016-05-13,0,0
2016-05-14,0,0
2016-05-15,0,0
2016-05-16,0,0
2016-05-17,0,0
2016-05-18,0,0
2016-05-19,0,0
2016-05-20,0,0
2016-05-21,0,0
2016-05-22,0,0
2016-05-23,0,0
2016-05-24,0,0
2016-05-25,0,0
2016-05-26,0,0
2016-05-27,0,0
2016-05-28,0,0
2016-05-29,0,0
2016-05-30,0,0
2016-05-31,0,0
2016-06-01,0,0
2016-06-02,0,0
2016-06-03,0,0
2016-06-04,0,0
2016-06-05,0,0
2016-06-06,0,0
2016-06-07,0,0
2016-06-08,0,0
2016-06-09,0,0
2016-06-10,0,0
2016-06-11,0,0
2016-06-12,0,0
2016-06-13,0,0
2016-06-14,0,0
2016-06-15,0,0
2016-06-16,0,0
2016-06-17,0,0
2016-06-18,0,0
2016-06-19,0,0
2016-06-20,0,0
2016-06-21,0,0
2016-06-22,0,0
2016-06-23,0,0
2016-06-24,0,0
2016-06-25,0,0
2016-06-26,0,0
2016-06-27,0,0
2016-06-28,0,0
2016-06-29,0,0
2016-06-30,0,0
2016-07-01,0,0
2016-07-02,0,0
2016-07-03,0,0
2016-07-04,0,0
2016-07-05,0,0
2016-07-06,0,0
2016-07-07,0,0
2016-07-08,0,0
2016-07-09,0,0
2016-07-10,0,0
2016-07-11,0,0
2016-07-12,0,0
2016-07-13,0,0
2016-07-14,0,0
2016-07-15,0,0
2016-07-16,0,0
2016-07-17,0,0
2016-07-18,0,0
2016-07-19,0,0
2016-07-20,0,0
2016-07-21,0,0
2016-07-22,0,0
2016-07-23,0,0
2016-07-24,0,0
2016-07-25,0,0
2016-07-26,0,0
2016-07-27,0,0
2016-07-28,0,0
2016-07-29,0,0
2016-07-30,0,0
2016-07-31,0,0
2016-08-01,0,0
2016-08-02,0,0
2016-08-03,0,0
2016-08-04,0,0
2016-08-05,0,0
2016-08-06,0,0
2016-08-07,0,0
2016-08-08,0,0
2016-08-09,0,0
2016-08-10,0,4
2016-08-11,0,2
2016-08-12,0,2
2016-08-13,0,2
2016-08-14,0,1
2016-08-15,0,7
2016-08-16,0,47
2016-08-17,0,16
2016-08-18,0,22
2016-08-19,0,23
2016-08-20,0,51
2016-08-21,0,84
2016-08-22,0,57
2016-08-23,0,124
2016-08-24,0,190
2016-08-25,0,114
2016-08-26,0,122
2016-08-27,0,253
2016-08-28,0,155
2016-08-29,0,154
2016-08-30,0,73
2016-08-31,0,179
2016-09-01,0,152
2016-09-02,0,151
2016-09-03,0,154
2016-09-04,0,105
2016-09-05,0,151
2016-09-06,0,114
2016-09-07,0,80
2016-09-08,0,62
2016-09-09,0,92
2016-09-10,0,129
2016-09-11,0,186
2016-09-12,0,140
2016-09-13,0,135
2016-09-14,0,119
2016-09-15,0,76
2016-09-16,0,85
2016-09-17,0,44
2016-09-18,0,106
2016-09-19,0,98
2016-09-20,0,60
2016-09-21,0,91
2016-09-22,0,212
2016-09-23,0,200
2016-09-24,0,79
2016-09-25,0,74
2016-09-26,0,92
2016-09-27,0,45
2016-09-28,0,80
2016-09-29,0,137
2016-09-30,0,66
2016-10-01,0,66
2016-10-02,0,56
2016-10-03,0,47
2016-10-04,0,73
2016-10-05,0,105
2016-10-06,0,216
2016-10-07,0,116
2016-10-08,0,148
2016-10-09,0,305
2016-10-10,0,258
2016-10-11,0,223
2016-10-12,0,179
2016-10-13,0,185
2016-10-14,0,167
2016-10-15,0,85
2016-10-16,0,134
2016-10-17,0,163
2016-10-18,0,214
2016-10-19,0,142
2016-10-20,0,96
2016-10-21,0,137
2016-10-22,0,100
2016-10-23,0,63
2016-10-24,0,51
2016-10-25,0,65
2016-10-26,0,66
2016-10-27,0,72
2016-10-28,0,79
2016-10-29,0,78
2016-10-30,0,131
2016-10-31,0,100
2016-11-01,1,50
2016-11-02,0,51
2016-11-03,0,53
2016-11-04,0,52
2016-11-05,0,96
2016-11-06,0,116
2016-11-07,0,144
2016-11-08,0,159
2016-11-09,0,110
2016-11-10,0,57
2016-11-11,0,48
2016-11-12,0,51
2016-11-13,0,60
2016-11-14,0,64
2016-11-15,0,133
2016-11-16,0,394
2016-11-17,0,216
2016-11-18,0,365
2016-11-19,0,507
2016-11-20,2,711
2016-11-21,2,972
2016-11-22,1,611
2016-11-23,0,643
2016-11-24,2,194
2016-11-25,1,139
2016-11-26,0,166
2016-11-27,3,502
2016-11-28,5,381
2016-11-29,0,268
2016-11-30,2,185
2016-12-01,3,332
2016-12-02,3,152
2016-12-03,2,120
2016-12-04,0,124
2016-12-05,0,118
2016-12-06,3,263
2016-12-07,0,598
2016-12-08,2,242
2016-12-09,3,213
2016-12-10,10,313
2016-12-11,12,201
2016-12-12,11,186
2016-12-13,3,164
2016-12-14,4,101
2016-12-15,6,121
2016-12-16,4,105
2016-12-17,2,74
2016-12-18,2,80
2016-12-19,2,62
2016-12-20,4,64
2016-12-21,5,55
2016-12-22,3,65
2016-12-23,2,43
2016-12-24,5,24
2016-12-25,3,35
2016-12-26,4,27
2016-12-27,3,45
2016-12-28,10,54
2016-12-29,6,48
2016-12-30,4,47
2016-12-31,3,49
2017-01-01,6,39
2017-01-02,6,53
2017-01-03,12,49
2017-01-04,4,46
2017-01-05,1,64
2017-01-06,9,45
2017-01-07,6,179
2017-01-08,9,99
2017-01-09,10,71
2017-01-10,2,60
2017-01-11,6,63
2017-01-12,2,51
2017-01-13,2,37
2017-01-14,3,38
2017-01-15,5,43
2017-01-16,6,37
2017-01-17,11,31
2017-01-18,6,31
2017-01-19,7,39
2017-01-20,6,41
2017-01-21,5,33
2017-01-22,7,30
2017-01-23,9,29
2017-01-24,15,41
2017-01-25,6,33
2017-01-26,11,26
2017-01-27,9,37
2017-01-28,4,33
2017-01-29,8,34
2017-01-30,7,40
2017-01-31,8,34
2017-02-01,12,53
2017-02-02,14,81
2017-02-03,4,52
2017-02-04,9,46
2017-02-05,14,50
2017-02-06,6,36
2017-02-07,9,51
2017-02-08,18,91
2017-02-09,18,112
2017-02-10,23,57
2017-02-11,16,48
2017-02-12,17,40
2017-02-13,12,41
2017-02-14,8,37
2017-02-15,9,34
2017-02-16,16,43
2017-02-17,13,36
2017-02-18,8,34
2017-02-19,21,28
2017-02-20,20,37
2017-02-21,12,52
2017-02-22,20,53
2017-02-23,32,75
2017-02-24,20,47
2017-02-25,22,40
2017-02-26,21,59
2017-02-27,20,53
2017-02-28,25,43
2017-03-01,17,58
2017-03-02,25,62
2017-03-03,22,46
2017-03-04,17,37
2017-03-05,9,18
2017-03-06,10,19
2017-03-07,18,32
2017-03-08,16,30
2017-03-09,16,28
2017-03-10,17,32
2017-03-11,13,18
2017-03-12,15,13
2017-03-13,17,22
2017-03-14,16,25
2017-03-15,20,26
2017-03-16,14,22
2017-03-17,22,26
2017-03-18,20,21
2017-03-19,16,15
2017-03-20,20,19
2017-03-21,31,23
2017-03-22,24,32
2017-03-23,16,50
2017-03-24,12,24
2017-03-25,7,19
2017-03-26,9,19
2017-03-27,16,21
2017-03-28,18,29
2017-03-29,22,19
2017-03-30,20,14
2017-03-31,12,24
2017-04-01,25,23
